모집계열,특기번호,특기
공병,44945 ,전투공병
공병,44976 ,장비공병
공병,45004 ,시설공병
공병,19 ,공병
군악,24504 ,군악
무기정비,45095 ,자주포정비
무기정비,44978 ,전차정비
무기정비,44979 ,상장정비병
무기정비,45130 ,자주포
무기정비,45192 ,폭발물처리
무기정비,45222 ,화생방장비
무기정비,45253 ,상장수리병
무기정비,45283 ,대공무기
무기정비,23-13,대전차무기
무기정비,23-14,기계공작
무기정비,44980 ,총기수리병
무기정비,45039 ,화포수리병
무기정비,45069 ,전자 및 광학장비
무기정비,45100 ,탄약관리병
무기정비,45130 ,탄약검사/정비병
무기정비,45192 ,전차수리병
수송,45008 ,운전
수송,45039 ,차량정비
일반,44943 ,기본보병
일반,45063 ,박격포
일반,45094 ,대전차화기
일반,44944 ,야포
일반,44975 ,방공무기운용
일반,45003 ,측지
일반,45034 ,계산
일반,45064 ,자주포조종
일반,44946 ,영상정보
일반,44947 ,전차승무
일반,44948 ,상장승무병
일반,44955 ,병참정비병
일반,47150 ,보급병
일반,65 ,군사경찰
정보통신,44953 ,유·무선운용
정보통신,44984 ,체계운용
정보통신,45012 ,통기
정보통신,45043 ,전탐
정보통신,45073 ,전산
조리,44980 ,급양
화학,45002 ,화생방
수색,44974 ,수색
